index,title,reviews,recommends(%),authors,publisher,price_n,price_r
"163","世界很喧嚣，做自己就好（百万畅销书作家老杨的猫头鹰2023年新作。送给当代年轻人一本毒舌又好笑的开窍指南。）","3443","100","老杨的猫头鹰","江苏凤凰文艺出版社","24.90","49.80"
"164","亲密关系：通往灵魂的桥梁（新版）：杨天真推荐，这本书告诉我们如何穿透自我障碍，用爱酿造幸福秘方","833991","100","克里斯多福・孟","湖南文艺出版社","22.50","45.00"
"165","《鲜衣怒马少年时》（1+2）套装","62678","100","少年怒马","湖南文艺出版社","49.00","98.00"
"166","古文观止译注(精装注音版，无障碍阅读!)(当当定制升级版)","73505","99.9","李梦生","上海古籍出版社","44.20","68.00"
"167","金波四季美文（注音美绘版）套装全4册","48581","100","金波","长江少年儿童出版社","50.00","100.00"
"168","小兔子学花钱系列（完整版・全4册）：3~7岁财商启蒙，学花钱、学赚钱、学存钱、学捐钱！3岁对钱有概念，7岁会管零花钱","188596","100","辛德斯・麦克劳德","河南文艺出版社","85.60","171.20"
"169","小羊上山儿童汉语分级读物第1级，幼小衔接学会自主识字阅读（10册套装），童趣出品","142920","100","孙蓓","人民邮电出版社","69.00","138.00"
"170","我的自然笔记：家有萌宠","734","100","芮东莉","湖南科技出版社","27.10","29.80"
"171","手不是用来打人的（儿童好品德系列，全5册）孩子多读就见效的习惯养成书，缓解新手爸妈育儿焦虑，王志庚、孙莉莉、朱爱朝推荐","477395","99.9","伊丽莎白・弗迪克","贵州教育出版社","38.60","99.00"
"172","地心游记（银火箭少年科幻系列・第2辑，又译《地心历险记》，经典探险科幻小说，引发孩子对自然宇宙的思考）","47181","100","儒勒・凡尔纳","民主与建设出版社","13.50","35.00"
"173","刻意练习：如何从新手到大师","410909","100","安德斯・艾利克森","机械工业出版社","35.40","59.00"
"174","红楼梦原著版（上、下册，全两册，全本120回）（团购电话:400-1066666转6）","734307","99.7","曹雪芹","人民文学出版社","34.00","59.70"
"175","华杉讲透孙子兵法（《狂飙》高启强的人生之书！这回终于读懂孙子兵法！通篇大白话，一看就懂）","181468","99.7","华杉","江苏文艺出版社","34.90","69.80"
"176","宝葫芦的秘密 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 青少版（无障碍阅读 彩插本）。中国著名儿童文学家张天翼作品。陪伴千万读者成长的经典童话","18475","100","张天翼","天地出版社","18.60","24.80"
"177","天才在左，疯子在右 完整版（2023版)","651866","100","高铭","北京联合出版有限公司","37.40","52.00"
"178","橘子不是唯一的水果","295293","99.9","珍妮特・温特森","北京联合出版有限公司","24.50","49.00"
"179","美国儿科学会育儿百科（第7版）","459918","100","塔尼娅・奥尔特曼","北京科学技术出版社","64.80","108.00"
"180","外婆","41945","100","伍剑","长江少年儿童出版社","11.30","25.00"
"181","心理抚养","134544","100","李玫瑾","上海三联书店","22.40","46.80"
"182","新史纪丛书・黑暗年代：阿尔弗雷德大帝与公元5～10世纪的早期英格兰（精装）","560","100","埃德・韦斯特","化学工业出版社","48.80","49.80"
"183","我的自然笔记：发现一只鸟","432","100","芮东莉","湖南科技出版社","27.10","29.80"
"184","大侦探福尔摩斯（第1辑）（全6册）","206185","100","柯南・道尔","湖北教育出版社","44.40","114.00"
"185","作个闲人：苏东坡的治愈主义（《金刚经修心课》作者费勇教授全新解读苏东坡！告别内耗，和苏东坡一样做个快乐的人！）","15956","100","费勇","江苏凤凰文艺出版社","29.90","59.80"
"186","小狗钱钱（套装2册）（附赠免费亲子财商课+理财秘籍思维导图）","335728","100","博多・舍费尔","中信出版社","39.80","79.60"
"187","一读就会用的分类成语故事（把成语用起来！随书附赠价值99元在线学习码，全10册，歪歪兔童书馆出品）","56710","100","歪歪兔童书馆","海豚出版社","202.50","450.00"
"188","尼尔斯骑鹅旅行记 快乐读书吧 六年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 130000多名读者热评！","270966","99.9","拉格洛夫","南方出版社","14.30","16.80"
"189","龙猫（宫崎骏代表作首次授权。吉卜力官方授权唯一简体中文版绘本。）","62894","100","宫崎骏","北京联合出版有限公司","49.00","68.00"
"190","我的自然笔记：厨房探秘","461","100","芮东莉","湖南科技出版社","27.10","29.80"
"191","窗边的小豆豆(2018版)","1627932","99.9","黑柳彻子","南海出版公司","27.20","39.50"
"192","时间是什么 给孩子的时间启蒙科普绘本 养成合理规划时间的好习惯 精装版","45849","100","知了","北方妇女儿童出版社","19.50","50.00"
"193","生命由来科学绘本 不可思议的进化故事","22584","100","知了","北方妇女儿童出版社","20.00","50.00"
"194","晚熟的人（莫言新书）","383892","100","莫言","人民文学出版社","46.70","59.00"
