index,title,reviews,recommends,authors,price_n,price_r
"168","刘擎西方现代思想讲义（奇葩说导师、得到App主理人刘擎讲透西方思想史，马东、罗振宇、陈嘉映、施展力荐）","81847条评论","100%推荐","刘擎","新星出版社","62.40","79.00"
"169","中国通史（吕思勉先生写给普通读者的中国通史入门书）","182500条评论","99.6%推荐","吕思勉","民主与建设出版社","15.50","39.80"
"170","给男孩的情绪管理绘本（套装全5册）","37448条评论","99.9%推荐","乐凡","青岛出版社","45.00","90.00"
"171","秘密 （日本读者票选东野作品第 2名，仅次于《白夜行》）","416155条评论","98.6%推荐","东野圭吾","南海出版公司","22.50","45.00"
"172","东野圭吾：嫌疑人X的献身（易烊千玺、王凯推荐，至为纯粹的爱情，绝好的诡计）","860876条评论","99.6%推荐","东野圭吾","南海出版公司","24.10","35.00"
"173","不一样的卡梅拉手绘本（1-12册）","882578条评论","99.7%推荐","克利斯提昂","２１世纪出版社","58.50","120.00"
"174","半小时漫画三国演义（哈哈哈哈一顿大笑，三国故事全知道！桃园结义、三顾茅庐、草船借箭，三国故事全收录！混子哥陈磊新作）","23468条评论","100%推荐","陈磊・半小时漫画团队","河南文艺出版社","27.40","54.90"
"175","半小时漫画论语（孔子原来这么爱吐槽！看孔子和弟子们卖萌吐槽，人生哲理全学到！混子哥陈磊新作！）","33889条评论","100%推荐","陈磊・半小时漫画团队","文汇出版社","29.90","59.90"
"176","早起的奇迹","36921条评论","100%推荐","哈尔・埃尔罗德","广东人民出版社","19.90","39.80"
"177","中国历代政治得失 钱穆（新校本）","218151条评论","99.8%推荐","钱穆","九州出版社","12.00","16.00"
"178","人性的弱点（戴尔・卡耐基成功学的奠基之作）","211884条评论","99.7%推荐","卡耐基","北京联合出版公司","14.00","29.80"
"179","双城记（狄更斯经典代表作，逝世150周年纪念版！翻译泰斗宋兆霖权威译本。）","39418条评论","99.9%推荐","查尔斯・狄更斯","台海出版社","34.40","49.80"
"180","金字塔原理大全集（共2册）（思考表达和解决问题的逻辑，“抖音同款”麦肯锡40年经典培训教材）","84299条评论","100%推荐","芭芭拉","南海出版公司","88.00","176.00"
"181","海子的诗","50406条评论","100%推荐","海子","中国华侨出版社","17.10","38.00"
"182","前世今生:生命轮回的启示","76617条评论","99.3%推荐","布莱恩・魏斯","光明日报出版社","14.20","32.00"
"183","古代人的日常生活（古代的光棍多吗？古人怎么擦屁屁？古人夏天如何驱蚊？满足你对古人日常生活的全部好奇！）（当当典藏版）","141291条评论","100%推荐","讲历史的王老师","江苏凤凰文艺出版社","34.90","69.90"
"184","苍炎（世界花样滑冰王者羽生结弦个人自传）","1985条评论","100%推荐","羽生结弦","北京联合出版有限公司","32.50","65.00"
"185","红岩","630802条评论","99.9%推荐","罗广斌","中国青年出版社","27.00","36.00"
"186","亲密关系（第6版）","70499条评论","99.9%推荐","罗兰・米勒","人民邮电出版社","114.80","138.00"
"187","万历十五年 一本好书 腾讯视频栏目推荐","790177条评论","99.4%推荐","黄仁宇","生活.读书.新知三联书店","17.90","26.00"
"188","月亮和六便士（毛姆代表作之一，全新导读+无删节详注版）","588344条评论","99.9%推荐","毛姆","时代文艺出版社","12.70","27.00"
"189","非自然死亡：我的法医笔记（法医秦明冠名推荐，15年法医生涯，19宗真实案件改编。全网阅读超1亿人次！）","79614条评论","100%推荐","刘晓辉","台海出版社","26.00","52.00"
"190","东野圭吾：长长的回廊（凄美决绝的悬疑推理力作，日剧《回廊亭杀人事件》原著，张新成、邓家佳主演的网剧热拍中）","24757条评论","100%推荐","东野圭吾","南海出版公司","29.50","59.00"
"191","飘（上下） 世界名著典藏","147208条评论","99.8%推荐","米切尔","中央编译出版社","25.00","50.00"
"192","如果历史是一群喵9・五代十国篇","30248条评论","100%推荐","肥志","广东旅游出版社","44.80","59.80"
"193","刻意练习：如何从新手到大师","316293条评论","100%推荐","安德斯・艾利克森","机械工业出版社","29.50","59.00"
"194","心若菩提(增订本)","74469条评论","100%推荐","曹德旺","人民出版社","66.70","79.00"
"195","暖房子・屁屁侦探系列（套装共7册）","62526条评论","100%推荐","Troll","海豚出版社","57.50","115.00"
"196","偷偷藏不住（共2册）","140404条评论","100%推荐","竹已","青岛出版社","38.87","59.80"
"197","终身成长：重新定义成功的思维模式","272977条评论","100%推荐","卡罗尔・德韦克","江西人民出版社","24.90","49.80"
"198","非常疑犯（“法医笔记”系列重磅新作。《时代周刊》报道的中国法医，根据追踪10年的连环杀人案写成。有声剧播放超1000万。）","30420条评论","100%推荐","红眸","天津人民出版社","26.00","52.00"
"199","洛克菲勒留给儿子的38封信","106818条评论","99.8%推荐","洛克菲勒","中华工商联合出版社","9.90","28.00"
"200","半小时漫画中国史（春节礼盒限量版）（过年送孩子半小时漫画，看得笑哈哈，来年当学霸！）（中国史1-5完结＋传统节日，共6册）","12456条评论","100%推荐","陈磊・半小时漫画团队","海南出版社","129.70","259.40"
"201","她来了请准备（月经来了，你准备好了吗？）","12831条评论","100%推荐","优米・斯泰恩斯","海豚出版社","29.50","59.00"
"202","狼王梦（升级版）/动物小说大王沈石溪・品藏书系","670765条评论","99.9%推荐","沈石溪","浙江少年儿童出版社","13.00","26.00"
"203","姥姥语录（精装增订本）本书全新推出增订本，增订本中将收录10余篇倪萍近年新文章，以及20余幅新的画作。","61949条评论","99.9%推荐","倪萍","长江文艺出版社","21.00","42.00"
"204","月亮与六便士（荣获豆瓣9.4高分评论，一本好书 腾讯视频栏目推荐）","184883条评论","99.8%推荐","毛姆","南海出版公司","17.50","35.00"
"205","当下的力量（珍藏版）","196152条评论","99.9%推荐","埃克哈特.托利","中信出版社","22.00","32.00"
"206","从前我死去的家","86455条评论","99.8%推荐","东野圭吾","北京十月文艺出版社","24.70","49.50"
"207","许三观卖血记（2017精装典藏版，增录新版自序）","48330条评论","100%推荐","余华","北京十月文艺出版社","27.20","39.50"
"208","协和专家孕产大百科（汉竹）","32226条评论","100%推荐","马良坤","江苏科学技术出版社","22.40","49.80"
"209","聂鲁达情诗全集：二十首情诗和一首绝望的歌","79349条评论","99.7%推荐","巴勃罗・聂鲁达","南海出版公司","19.70","39.50"
"210","写给儿童的中国历史（中国孩子的历史启蒙，真正写给孩子看的中国通史，全彩铜版14册）","962696条评论","99.8%推荐","陈卫平","新世界出版社","177.50","355.00"
"211","瓦尔登湖(珍藏本) 朗读者朗读书目","589873条评论","99.7%推荐","梭罗","中国三峡出版社","11.20","28.00"
"212","半小时漫画宇宙大爆炸（半小时读完138亿年宇宙史，一口气搞懂大爆炸、奇点、黑洞、引力波、暗物质……混子哥陈磊新作！）","14440条评论","100%推荐","陈磊・半小时漫画团队","浙江科学技术出版社","24.50","49.00"
"213","科幻世界・三体（典藏版）","80317条评论","99.9%推荐","刘慈欣","重庆出版社","13.00","26.00"
"214","第七天（2018版）","486535条评论","99.8%推荐","余华","新星出版社","27.20","39.50"
"215","这题超纲了2  亲签或5款印签随机掉落  附赠明信片×2  拍立得拉页明信片×1","398条评论","99.7%推荐","木瓜黄","长江文艺出版社","29.00","42.00"
"216","法医秦明.遗忘者（法医秦明系列众生卷第二季瞩目新作！）","28586条评论","99.9%推荐","法医秦明","北京联合出版有限公司","24.00","48.00"
"217","中华人民共和国民法典(32开压纹烫金版 附草案说明)2021年1月起正式施行  团购电话：4001066666转6","141313条评论","99.9%推荐","法律出版社","法律出版社","7.50","28.00"
"218","100层的房子系列（全4册，《100层的房子》+《地下100层的房子》+《海底100层的房子》+《天空100层的房子》）","211973条评论","100%推荐","岩井俊雄","北京科学技术出版社","78.00","156.00"
"219","哈利・波特（套装1-7册） (平装)《语文》教材推荐阅读书目，外国儿童文学经典，新英国版封面平装版","382997条评论","99.7%推荐","J.K.罗琳","人民文学出版社","294.70","438.00"
"220","用孩子的逻辑，化解孩子的情绪（一本从事幼教20年从未动怒的优雅教养书！言传身教帮助父母走出情绪恶性循环！范玮琪好评推荐！）","38835条评论","100%推荐","郑婉瑜","天地出版社","16.20","36.00"
"221","秘密（经典身心灵励志读物，为人生带来喜悦转变的能量之书，“吸引力法则”三部曲扛鼎之作。）","198252条评论","99.7%推荐","朗达・拜恩","湖南文艺出版社","25.20","56.00"
"222","东野圭吾：时生（东野圭吾暖心力作）","324074条评论","98.8%推荐","东野圭吾","南海出版公司","19.70","39.50"
"223","全员嫌疑人（本以为真相水落石出，没想到真凶另有其人！大山诚一郎专注于多重反转的烧脑神作！）（读客悬疑文库）","11071条评论","99.9%推荐","大山诚一郎","河南文艺出版社","21.00","42.00"
"224","真希望我父母读过这本书","61522条评论","100%推荐","菲莉帕・佩里","中信出版社","31.20","48.00"
"225","中华人民共和国民法典（实用版）2021年1月起正式施行  团购电话：4001066666转6","288729条评论","99.9%推荐","中国法制出版社","中国法制出版社","28.90","65.00"
"226","青铜葵花正版曹文轩纯美小说7-8-9-10-12岁草房子系列儿童文学校园青少年版四五六年级下册小学生课外阅读书籍全套原版完整版","431165条评论","99.9%推荐","曹文轩","江苏少年儿童出版社","10.90","22.00"
"227","熔城 珍藏版（全两册）当当专享印签+“熔城”自封袋+随书赠品15款","839条评论","99.9%推荐","巫哲","九州出版社","76.00","99.60"
"228","情绪的毒身体知道（读懂身体发出的求救信号，从身体症状找到控制情绪的开关，启动身体自愈力做自己的心理医生）","13128条评论","100%推荐","自凝心平","北京日报出版社","21.90","49.90"
"229","彩虹色的花","237360条评论","100%推荐","麦克","二十一世纪出版社","23.00","46.00"
"230","暖萌科学绘本 和爸妈去旅行","89802条评论","100%推荐","黄宇","北京联合出版有限公司","21.70","24.90"
"231","原则 principles 雷・达里奥著 跨年演讲推荐图书 团购电话:4001066666转6","307487条评论","100%推荐","瑞・达利欧","中信出版社","67.60","98.00"
"232","每天演好一个情绪稳定的成年人","98235条评论","100%推荐","老杨的猫头鹰","湖南文艺出版社","20.30","45.00"
"233","岩井俊二：情书（2018精装版）","139038条评论","99.8%推荐","岩井俊二","南海出版公司","22.50","45.00"
"234","他笑时风华正茂","25030条评论","99.8%推荐","舒远","百花洲文艺出版社","14.70","34.80"
"235","民国往事","179120条评论","99.1%推荐","萨沙","北京联合出版公司","6.40","18.00"
"236","浮生六记（非常容易读懂原文的版本：详细注解+准确优美直译。获得台湾认可并引进出版的大陆版）","136561条评论","99.9%推荐","沈复","时代文艺出版社","16.80","35.00"
"237","夜晚的潜水艇(第四届宝珀理想国文学奖得主陈春成短篇小说集，游荡于旧山河与未知宇宙间，汉语的一种风度与可能性)","85004条评论","100%推荐","陈春成","上海三联书店","39.00","52.00"
"238","佛陀传：全世界影响力深远的佛陀传记（影响力遍及各国的佛陀传记。佛法的起源与奥妙，就这样在您面前徐徐展开）","82287条评论","99.7%推荐","一行禅师","河南文艺出版社","24.00","48.00"
"239","疑案里的中国史（一部书解读历史上的四十大疑案，历史界福尔摩斯，带你无限接近中国历史的真相！）","5072条评论","99.9%推荐","艾公子","辽宁人民出版社","27.70","65.00"
"240","别想太多啦：在复杂的世界里，做一个简单的人（情绪疗愈指南，随手翻开，就能获得舍离烦恼的勇气。）","76013条评论","100%推荐","名取芳彦","天津人民出版社","22.50","49.90"
"241","夏日终曲（第90届奥斯卡获奖电影《请以你的名字呼唤我》原著小说，获最佳改编剧本奖）","150275条评论","100%推荐","安德烈・艾席蒙","外语教学与研究出版社","28.70","39.90"
"242","这就是物理（函套10册）","191499条评论","100%推荐","约瑟夫・米森","北京理工大学出版社","77.70","200.00"
"243","小巴掌童话注音版8册百篇张秋生著 小学生课外读本","249955条评论","100%推荐","张秋生","山东科学技术出版社","31.00","110.40"
"244","沙丘六部曲（同名电影全国上映！《降临》导演执导、“甜茶”“灭霸”、张震等主演。每个“不可不读”的书单上都有《沙丘》）","48549条评论","100%推荐","弗兰克・赫伯特","江苏文艺出版社","197.40","394.90"
"245","你想活出怎样的人生（宫崎骏从10岁读到70岁的小说，同名电影制作中，登顶日本2018图书总榜）","205781条评论","100%推荐","吉野源三郎","南海出版公司","24.70","49.50"
"246","小猪唏哩呼噜(注音版上下)","599799条评论","99.9%推荐","孙幼军","春风文艺出版社","23.60","40.00"
"247","自卑与超越（亚洲心理学会会长黄光国完整全译本，白岩松推荐）","17326条评论","99.4%推荐","阿尔弗雷德・阿德勒","民主与建设出版社","19.90","39.80"
"248","开端（正午阳光无限流《开端》白敬亭、赵今麦主演的同名电视剧原著小说）","371条评论","99.5%推荐","祈祷君","青岛出版社","24.90","49.80"
"249","李诞脱口秀工作手册（李诞分享创作经验！创意是智力活儿，也是体力活儿，归根结底是苦力活儿！）","27778条评论","100%推荐","李诞","江苏凤凰文艺出版社","21.00","42.00"
"250","半小时漫画青春期：生理篇（从变声长痘到脸红心跳，笑着笑着解决青春期困扰！爆笑全解生理知识）","54341条评论","100%推荐","陈磊・半小时漫画团队","天津科学技术出版社","24.50","49.00"
"251","手不是用来打人的（儿童好品德系列，全5册）孩子多读就见效的习惯养成书，缓解新手爸妈育儿焦虑，王志庚、孙莉莉、朱爱朝推荐","414540条评论","99.9%推荐","伊丽莎白・弗迪克","贵州教育出版社","49.50","99.00"
"252","米小圈脑筋急转弯（第一辑）（套装共4册）","618067条评论","95.1%推荐","北猫","四川少儿出版社","31.40","64.00"
"253","谈判：如何在博弈中获得更多(第四版)Everything is Negotiable","265903条评论","99.9%推荐","盖温・肯尼迪","民主与建设出版社","22.50","45.00"
"254","我有友情要出租（拼音版）","195372条评论","100%推荐","方素珍","新疆青少年出版社","13.20","18.00"
"255","曾医生让你早知道（当当专享签章版+健康手册，协和博士、朝阳医院医师曾医生写给你的健康指南）","32596条评论","100%推荐","普外科曾医生","湖南科技出版社","32.50","65.00"
"256","信谊世界精选图画书-猜猜我有多爱你","101294条评论","100%推荐","山姆・麦克布雷尼","明天出版社","25.80","43.80"
"257","轻狂2 畅销书作家巫哲燃情力作 当当专属印签版！","26654条评论","100%推荐","巫哲","百花文艺出版社","20.20","45.00"
"258","新参者（2016版）","229955条评论","99.8%推荐","东野圭吾","南海出版公司","19.70","39.50"
"259","时代广场的蟋蟀：麦克米伦世纪大奖小说最新升级版","479380条评论","100%推荐","乔治・塞尔登","二十一世纪出版社","11.20","25.00"
"260","十二生肖的故事――首届丰子恺儿童图画书奖得主  赖马作品！","124166条评论","100%推荐","赖马","河北教育出版社","22.90","45.80"
"261","三体Ⅹ・观想之宙（典藏版）","14736条评论","100%推荐","宝树","重庆出版社","10.50","21.00"
"262","断舍离（经典断舍离，山下英子初版全本）","1083517条评论","99.8%推荐","山下英子","广西科学技术出版社","14.40","32.00"
"263","遇见未知的自己：全新修订版","361582条评论","99.9%推荐","张德芬","湖南文艺出版社","23.40","52.00"
"264","最富足的投资","13643条评论","100%推荐","吉姆・罗杰斯","民主与建设出版社","20.30","45.00"
"265","不吼不叫：如何平静地让孩子与父母合作","402151条评论","99.9%推荐","罗娜・雷纳","上海社会科学院出版社","16.40","32.80"
"266","银火箭少年科幻系列・第1辑（8册。“雨果奖”得主、三体作者刘慈欣主编，套装内作者作品曾获银河奖特等奖等多项国际大奖）","627687条评论","100%推荐","刘慈欣","浙江教育出版社","99.00","256.00"
"267","罗尔德・达尔作品典藏（彩图拼音版）―了不起的狐狸爸爸","276225条评论","100%推荐","罗尔德・达尔","明天出版社","13.40","28.00"
"268","广告说服力：基于实证研究的195条广告原理","1082条评论","99.9%推荐","斯科特・阿姆斯特朗","商务印书馆","133.50","158.00"
"269","张医生与王医生（南都年度十大好书！新周刊刀锋图书奖年度纪实作品！两个人，一座城，一个时代）","6985条评论","100%推荐","伊险峰","文汇出版社","34.00","68.00"
"270","学习高手（90后哈佛耶鲁高分毕业生超实用学习法）","156650条评论","100%推荐","李柘远","北京联合出版有限公司","52.30","55.00"
"271","向上生长（九边作品。让选择变得精准，让机遇不再错失。 悉数解决人生困惑问题，实现向上生长。）","124100条评论","100%推荐","九边","贵州人民出版社","22.50","45.00"
"272","东野圭吾：假面山庄（东野圭吾烧脑长篇）","163034条评论","100%推荐","东野圭吾","北京十月文艺出版社","22.50","45.00"
"273","尸语者：公安厅从未公开的法医禁忌档案（2018全新修订，严屹宽、代斯、耿乐、郝劭文主演电影《秦明・生死语者》原著小说）","43653条评论","100%推荐","法医秦明","湖南文艺出版社","18.00","39.80"
"274","小鸡球球成长绘本系列：全6册","457104条评论","99.9%推荐","入山智","长江少年儿童出版社","67.90","142.80"
"275","流浪的地球（《三体》作者刘慈欣绚丽想象力之作，大人孩子均可阅读。)","627687条评论","100%推荐","刘慈欣","浙江教育出版社","14.20","29.00"
"276","动物农场（乔治・奥威尔经典的讽喻之作 ，也译“动物庄园”，后附英文版）","70249条评论","100%推荐","乔治・奥威尔","时代文艺出版社","11.80","24.00"
"277","人生的枷锁（又译《人性的枷锁》，毛姆自认的完美作品，写给在现实中迷茫的每一个人）","83784条评论","99.8%推荐","威廉・萨默赛特・毛姆","作家出版社","24.50","50.00"
"278","第一人称单数（村上春树2021新书，村上回归之作！随书附赠音乐导览手册）","21586条评论","99.9%推荐","村上春树","花城出版社","53.20","56.00"
"279","美国儿科学会育儿百科（第7版）","376088条评论","100%推荐","塔尼娅・奥尔特曼","北京科学技术出版社","81.00","108.00"
"280","崔玉涛育儿百科","81089条评论","100%推荐","崔玉涛","中信出版社","89.00","178.00"
"281","偷窥者：法医秦明系列第六季（李现推荐）","62399条评论","99.9%推荐","秦明","湖南文艺出版社","19.00","38.00"
"282","活着，得有点兴致(汪曾祺作品)","14774条评论","100%推荐","汪曾祺","江苏凤凰文艺出版社","12.70","39.80"
"283","米小圈上学记一年级（套装共4册）","579580条评论","100%推荐","北猫","四川少儿出版社","49.00","100.00"
"284","郑渊洁四大名传：皮皮鲁传","400303条评论","99.4%推荐","郑渊洁","浙江少年儿童出版社","13.00","29.00"
"285","余秀华作品3册精选套装（月光落在左手上+我们爱过又忘记+无端欢喜）","12946条评论","100%推荐","余秀华","北京十月文艺出版社","77.50","155.00"
"286","我爱天下一切狗 季羡林散文集（爱尽万物，自在不言。）","33499条评论","100%推荐","季羡林","光明日报出版社","24.50","49.00"
"287","易经的奥秘：完整版","57756条评论","100%推荐","曾仕强","北京时代华文书局","44.10","64.00"
"288","有本事（冯唐全新力作,一个人有本事才是靠得住的财富。）","28293条评论","100%推荐","冯唐","北京联合出版有限公司","55.10","58.00"
"289","果麦经典：人类群星闪耀时（小米之父雷军、易中天、冯唐推荐！茨威格名作，十四篇历史特写：当改变命运的时刻降临，犹豫就会败北！)","48920条评论","100%推荐","斯蒂芬・茨威格","上海文艺出版社","24.50","49.00"
"290","财务自由之路：7年内赚到你的第一个1000万（团购电话:4001066666转6）","139788条评论","99.9%推荐","博多・舍费尔","现代出版社","21.40","45.00"
"291","半小时漫画党史1921―1949（针对青少年研发，给孩子们讲党的故事！严肃活泼的极简漫画党史！）（半小时漫画系列）","49条评论","93.9%推荐","上海人民出版社","上海人民出版社","24.90","49.90"
"292","银河帝国：基地（人类历史上不容错过的系列小说。被马斯克用火箭送上太空的科幻神作，百万册珍藏版）（读客科幻文库）","196954条评论","100%推荐","艾萨克・阿西莫夫","江苏文艺出版社","22.50","45.00"
"293","哲学家们都干了些什么（一部既严谨又不严肃的哲学史）","109343条评论","99.7%推荐","林欣浩","北京联合出版公司","26.00","52.00"
"294","他最野了（全2册）曲小蛐代表作","64196条评论","100%推荐","曲小蛐","江苏凤凰文艺出版社","46.80","68.00"
"295","华夏万卷 楷书入门6件套 楷书字帖田英章书钢笔字帖成人学生硬笔书法教程初学者基础字帖(赠控笔训练)","58063条评论","100%推荐","田英章","上海交通大学出版社","29.70","66.00"
"296","塔木德","104397条评论","99.6%推荐","塔尔莱特・赫里姆","中国画报出版社","10.00","36.00"
"297","把自己当回事儿（杨天真的沟通秘籍！蔡康永、樊登、罗永浩真挚推荐，李诞、马伊�P、脱不花诚意作序。）","125462条评论","100%推荐","杨天真","北京联合出版有限公司","53.20","56.00"
"298","男孩、鼹鼠、狐狸和马（三川玲真情推荐！当代《小王子》！）","27172条评论","100%推荐","查理・麦克西","北京联合出版有限公司","44.00","88.00"
"299","三毛全集02：撒哈拉的故事","413210条评论","100%推荐","三毛","北京十月文艺出版社","24.10","35.00"
"300","深情可抵岁月长套装（全2册）春风榴火代表作（网络原名：重回我爸当校草那几年）","7556条评论","100%推荐","春风榴火","江苏凤凰文艺出版社","71.10","90.00"
"301","夏洛的网(2020版）（三年级阅读经典书目）","1093316条评论","99.3%推荐","怀特","上海译文出版社","30.30","37.00"
"302","这里是中国 2019年度中国好书 文津图书奖获奖作品","116786条评论","99.9%推荐","星球研究所","中信出版社","109.00","168.00"
"303","科幻世界・三体Ⅲ・死神永生（典藏版）","53598条评论","99.9%推荐","刘慈欣","重庆出版社","24.00","48.00"
"304","社会心理学（第11版）","234345条评论","99.8%推荐","戴维・迈尔斯","人民邮电出版社","106.50","128.00"
"305","道德经 精装珍藏本","46324条评论","100%推荐","老子","作家出版社","12.70","32.80"
"306","抱住棒棒的自己（武志红强烈推荐。“过去的我已经做得很棒了，剩下的我真的可以慢慢来。”“徐慢慢心理话”心理咨询案例漫画。）","13188条评论","100%推荐","徐慢慢心理话","浙江文艺出版社","29.90","59.80"
"307","长津湖（全景式刻画长津湖战役的史诗力作）","6068条评论","100%推荐","王筠","北京十月文艺出版社","24.50","49.00"
"308","黄金时代（2021版，王小波成名代表作，当代文学经典！罗翔、肖战、朱一龙、麦家、李诞都在读王小波。)","105096条评论","100%推荐","王小波","北京十月文艺出版社","40.70","59.00"
"309","致我独一无二的宝贝（联合国秘书长安东尼奥・古特雷斯高度评价，母婴育儿大V小土大橙子翻译，荣获独立图书*奖）","89332条评论","100%推荐","沙尼・金","湖南美术出版社","18.00","45.00"
"310","花婆婆――清华附小推荐的经典绘本！美国国家图书奖作品！","477455条评论","99.5%推荐","芭芭拉库尼","河北教育出版社","19.90","39.80"
"311","一间只属于自己的房间（李银河推荐的女性主义奠基作品；随书赠送6张唯美明信片）","11745条评论","100%推荐","弗吉尼亚・伍尔夫","天津人民出版社","22.50","45.00"
"312","和爸爸一起科学启蒙绘本（全8册+66个彩蛋，歪歪兔出品）","6771条评论","99.9%推荐","关航","海豚出版社","75.00","150.00"
"313","字母表谜案（怪异君推荐！当你隐隐觉得不对劲，致命的恶意正悄悄逼近！大山诚一郎封神之作！）（客悬疑文库）","56116条评论","100%推荐","大山诚一郎","河南文艺出版社","21.00","42.00"
"314","牛虻（我一定要走自己的路，追随我所见到的光明。无数人因为读它重获力量）","19979条评论","99.9%推荐","艾捷尔・丽莲・伏尼契","台海出版社","34.40","49.80"
"315","暖房子・屁屁侦探系列（套装共6册）","88522条评论","100%推荐","Troll","北京联合出版有限公司","48.00","96.00"
"316","原声触摸发声书：听，什么声音（套装全6册）","249609条评论","99.9%推荐","YOYO出版社","开明出版社","149.50","330.00"
"317","愿你慢慢长大（与刘瑜、周国平、冯唐等名家一起开始一场温柔的教养旅程，聊一聊关于教养的真心话，感受孩子成长的真实意义。）","190355条评论","100%推荐","刘瑜","北京联合出版有限公司","22.50","45.00"
"318","西尔斯怀孕百科（全新升级典藏版）","217966条评论","99.9%推荐","威廉・西尔斯","南海出版公司","44.00","88.00"
"319","我爸爸+我妈妈（全2册）――清华附小推荐经典儿童绘本 ！（启发童书馆出品）","806721条评论","99.7%推荐","安东尼","河北教育出版社","60.00","79.60"
"320","显微镜下的大明（马伯庸著，全新明朝历史书）","132551条评论","100%推荐","马伯庸","湖南文艺出版社","23.40","52.00"
"321","七田真全脑开发练习册:专注力与记忆力+数学与逻辑思维（3～4岁,全6册）","62990条评论","100%推荐","七田教育研究所","化学工业出版社","59.80","119.60"
"322","可复制的领导力：樊登的9堂商业课（团购，请致电400-106-6666转6）","198341条评论","100%推荐","樊登","中信出版社","36.70","49.00"
"323","科幻世界・三体Ⅱ・黑暗森林（典藏版）","54911条评论","99.9%推荐","刘慈欣","重庆出版社","21.00","42.00"
"324","悉达多（诺贝尔文学奖得主赫尔曼・黑塞的代表作，德文直译，原版呈现。）","12833条评论","100%推荐","赫尔曼・黑塞","民主与建设出版社","34.40","49.80"
"325","痴人之爱（7次获诺贝尔文学奖提名）","12411条评论","100%推荐","谷崎润一郎","台海出版社","34.40","49.80"
"326","愿望的实现（手绘精美插图，亚洲诺贝尔文学奖得主泰戈尔代表作之一）","36725条评论","100%推荐","泰戈尔","浙江工商大学出版社","9.90","19.80"
"327","没头脑和不高兴（注音版）","440117条评论","100%推荐","任溶溶","浙江少年儿童出版社","12.50","25.00"
"328","张文鹤护肤指南（皮肤科专家张文鹤20年临床经验总结一本守护全家人的皮肤健康书！）","138052条评论","100%推荐","张文鹤","科学技术文献出版社","61.80","65.00"
"329","数学帮帮忙（全25册+导读手册）超值礼盒装 （多功能数学绘本，清华附小公开课指定用书！小学数学学习）","295741条评论","99.9%推荐","达芙妮・斯金纳","新蕾出版社","137.50","275.00"
"330","和爸妈游中国 给孩子的手绘中国地理绘本","97131条评论","99.9%推荐","黄宇","明天出版社","67.90","79.90"
"331","法医秦明：无声的证词","22328条评论","100%推荐","法医秦明","江苏凤凰文艺出版社","24.00","48.00"
"332","共情的力量：情商高的人，如何抚慰受伤的灵魂","238047条评论","100%推荐","亚瑟・乔拉米卡利","中国致公出版社","22.40","49.80"
"333","放学后（东野圭吾成名作）","323837条评论","100%推荐","东野圭吾","南海出版公司","33.70","45.00"
"334","圣女的救济（东野圭吾经典长篇小说）","212025条评论","99.9%推荐","东野圭吾","南海出版公司","22.50","45.00"
"335","李佳琦直播推荐 学会爱自己（防性侵，安全意识、行为习惯培养绘本，全14册）","387876条评论","99.8%推荐","珊蒂克雷文","青岛出版社","96.00","192.00"
"336","起床后的黄金1小时（风靡日本的1小时习惯改造法，助你成为自律、精进、高效的人。想过什么样的人生，就过什么样的早晨！）","69224条评论","100%推荐","池田千惠","北京日报出版社","27.50","55.00"
"337","你想过怎样的一生？年度心灵治愈绘本，人生没有标准答案，没有“应该要过”的人生，只有“想要过的人生”","24970条评论","100%推荐","海克・法勒","北京联合出版有限公司","59.00","118.00"
"338","米小圈漫画成语（第一辑）（套装共5册）","478950条评论","100%推荐","北猫","四川少儿出版社","49.00","100.00"
"339","人间告白（何炅、谢娜、 易烊千玺推荐，花生妈妈金鱼酱写给儿子的信）","110506条评论","100%推荐","金鱼酱","百花洲文艺出版社","24.90","49.80"
"340","天才在左 疯子在右(全新完整版)","1486690条评论","99.9%推荐","高铭","北京联合出版有限公司","47.30","49.80"
"341","岛上书店（李现推荐，每个人的生命中，都有无比艰难的那一年，将人生变得美好而辽阔。加・泽文感动读者的治愈小说！）","1301593条评论","99.9%推荐","加・泽文","江苏文艺出版社","17.50","35.00"
"342","财务自由之路（全三册）当当专享版 赠送精美书签","77357条评论","99.9%推荐","博多・舍费尔","现代出版社","61.00","135.00"
"343","时间简史（插图本）（央视《朗读者》推荐）","669389条评论","99.6%推荐","史蒂芬・霍金","湖南科技出版社","22.50","45.00"
"344","瓦尔登湖（瓦尔登湖畔，不只是身体的栖息之所，更是精神的沉思之地）","228370条评论","99.5%推荐","亨利戴维梭罗","作家出版社","11.80","25.00"
"345","一日三秋（刘震云睽违四年新作，用幽默化解成年人的崩溃瞬间，人生中总有一日胜过三秋）","24136条评论","100%推荐","刘震云","花城出版社","29.00","58.00"
"346","屁屁侦探思维进阶版 第一辑（精装4册）","44827条评论","100%推荐","Troll","二十一世纪出版社","77.00","140.00"
"347","伤心书――安徒生奖获得者昆廷.布莱克作品！","4932条评论","100%推荐","迈克尔.罗森","北京联合出版公司","22.90","45.80"
"348","少有人走的路：心智成熟的旅程（白金升级版）","174384条评论","100%推荐","M.斯科特・派克","北京联合出版有限公司","24.70","42.00"
"349","观山海  “百鬼画师”杉泽绝美诠释山海经","242928条评论","99.9%推荐","杉泽","湖南文艺出版社","75.60","168.00"
